"ds_codigo","ds_nome","railway","railway_color"
1,"AGUA RASA",0.833856144918824,"#D55743"
2,"ALTO DE PINHEIROS",2.5675548313038,"#E68B4E"
3,"ANHANGUERA",0.00000755587647854886,"#CE3F3E"
4,"ARICANDUVA",0.0000000000000628622800647418,"#CE3F3E"
5,"ARTUR ALVIM",3.28861888735262,"#ECA053"
6,"BARRA FUNDA",4.12116620024081,"#F4B859"
7,"BELA VISTA",6.88644432420599,"#ABC165"
8,"BELEM",3.04322458090394,"#EA9952"
9,"BOM RETIRO",5.66051769654195,"#E0CC61"
10,"BRAS",7.06000352580803,"#A4C066"
11,"BRASILANDIA",0.000000000269796524398602,"#CE3F3E"
12,"BUTANTA",1.91345507844051,"#DF774A"
13,"CACHOEIRINHA",0,"#CE3F3E"
14,"CAMBUCI",2.27159950811843,"#E3824C"
15,"CAMPO BELO",0.0305185750162577,"#CE3F3E"
16,"CAMPO GRANDE",1.09230701016998,"#D85F45"
17,"CAMPO LIMPO",1.4333738292598,"#DB6947"
18,"CANGAIBA",1.7364336403752,"#DE7249"
19,"CAPAO REDONDO",1.54132948691618,"#DC6C48"
20,"CARRAO",0.239186004574124,"#D0463F"
21,"CASA VERDE",0.00600822935991174,"#CE3F3E"
22,"CIDADE ADEMAR",0.000000000692088558588093,"#CE3F3E"
23,"CIDADE DUTRA",1.55984680086157,"#DC6D48"
24,"CIDADE LIDER",0.0249055365031065,"#CE3F3E"
25,"CIDADE TIRADENTES",0.00000125668777825546,"#CE3F3E"
26,"CONSOLACAO",5.05114653209055,"#FAD25F"
27,"CURSINO",0.845652054897247,"#D55843"
28,"ERMELINO MATARAZZO",2.74723212745794,"#E79050"
29,"FREGUESIA DO O",0.032095285910644,"#CE3F3E"
30,"GRAJAU",0.100603509353672,"#CE413E"
31,"GUAIANASES",1.15882818484528,"#D86145"
32,"MOEMA",0.0544475620634838,"#CE403E"
33,"IGUATEMI",0,"#CE3F3E"
34,"IPIRANGA",3.79363407608818,"#F1AF57"
35,"ITAIM BIBI",2.43991933012354,"#E4874E"
36,"ITAIM PAULISTA",1.30710034204887,"#DA6546"
37,"ITAQUERA",2.24663776634936,"#E3814C"
38,"JABAQUARA",2.29694494126315,"#E3824D"
39,"JACANA",0.0000230506880769967,"#CE3F3E"
40,"JAGUARA",0.322544888205624,"#D14840"
41,"JAGUARE",2.7982660920147,"#E89150"
42,"JARAGUA",1.37473375325397,"#DA6747"
43,"JARDIM ANGELA",0.0000300732966321725,"#CE3F3E"
44,"JARDIM HELENA",2.87028384709614,"#E89350"
45,"JARDIM PAULISTA",3.79690612843002,"#F1AF57"
46,"JARDIM SAO LUIS",0.936051877033139,"#D65A44"
47,"JOSE BONIFACIO",1.07982958344885,"#D85E45"
48,"LAPA",3.74553230915846,"#F1AD56"
49,"LIBERDADE",5.22682978367039,"#F3D05F"
50,"LIMAO",0.00166119000001301,"#CE3F3E"
51,"MANDAQUI",0.00022228706531536,"#CE3F3E"
52,"MARSILAC",0,"#CE3F3E"
53,"MOOCA",3.06154729836429,"#EA9952"
54,"MORUMBI",2.29849629514498,"#E3834D"
55,"PARELHEIROS",0,"#CE3F3E"
56,"PARI",1.49442114764094,"#DC6B47"
57,"PARQUE DO CARMO",0.000352880165838378,"#CE3F3E"
58,"PEDREIRA",0.0091711036659229,"#CE3F3E"
59,"PENHA",2.76306551045151,"#E79050"
60,"PERDIZES",2.5578223499101,"#E68A4E"
61,"PERUS",0.792414936985204,"#D55643"
62,"PINHEIROS",5.86880005575236,"#D7CB61"
63,"PIRITUBA",2.76454274017528,"#E79050"
64,"PONTE RASA",0.0108636587629175,"#CE3F3E"
65,"RAPOSO TAVARES",0,"#CE3F3E"
66,"REPUBLICA",9.15833628287806,"#4AAC6D"
67,"RIO PEQUENO",0.000000892900984770301,"#CE3F3E"
68,"SACOMA",0.230283994037822,"#D0453F"
69,"SANTA CECILIA",5.44714448830898,"#E9CE60"
70,"SANTANA",3.80396782327082,"#F1AF57"
71,"SANTO AMARO",3.435609153074,"#EEA454"
72,"SAO LUCAS",1.01423888029326,"#D75D44"
73,"SAO MATEUS",0,"#CE3F3E"
74,"SAO MIGUEL",2.05828599826186,"#E17B4B"
75,"SAO RAFAEL",0.0000000000000712439174067074,"#CE3F3E"
76,"SAPOPEMBA",0.0000000000474652122674914,"#CE3F3E"
77,"SAUDE",4.69349911173409,"#FAC95C"
78,"SE",10,"#26A570"
79,"SOCORRO",1.51793032867225,"#DC6B48"
80,"TATUAPE",3.68971356253918,"#F0AC56"
81,"TREMEMBE",0.0000026385895071083,"#CE3F3E"
82,"TUCURUVI",2.79691538178214,"#E89150"
83,"VILA ANDRADE",2.21293059734787,"#E2804C"
84,"VILA CURUCA",1.06970372906714,"#D85E45"
85,"VILA FORMOSA",0.00960257230692451,"#CE3F3E"
86,"VILA GUILHERME",0.464798293127245,"#D24C41"
87,"VILA JACUI",0.00421416197339322,"#CE3F3E"
88,"VILA LEOPOLDINA",4.72362871557763,"#FACA5D"
89,"VILA MARIA",0.000392743843976467,"#CE3F3E"
90,"VILA MARIANA",6.28143334080083,"#C5C763"
91,"VILA MATILDE",3.40233560564684,"#EDA354"
92,"VILA MEDEIROS",0.00366700070251912,"#CE3F3E"
93,"VILA PRUDENTE",3.31731381200794,"#EDA153"
94,"VILA SONIA",0.0000000446857732648639,"#CE3F3E"
95,"SAO DOMINGOS",0.0964654224221136,"#CE413E"
96,"LAJEADO",1.15495112897706,"#D86145"
